YEAR	NAME	UNIT NAME	Input Energy Prog (MU)	Unit Sold Prog (MU)	Distribution Loss Prog (%)	Current Assessment With ED Prog (Lakh)	Realisation Prog(Lakh)	% Realisation Prog	ATC Loss	Realisation Rate Input Prog (Rs / Unit)	Realisation Rate Sold Prog (Rs / Unit)	Unit Sold Prog Govt (MU)	Current Assessment With ED Prog Govt (Lakh)	Realisation Prog Govt (Lakh)	% Realisation Prog Govt	ATC Loss Prog Govt	Unit Sold Prog Non Govt (MU)	Current Assessment With ED Prog on Govt (Lakh)	Realisation Prog Non Govt (Lakh)	% Realisation Prog Non Govt	ATC Loss Prog Non Govt
2025	A	EDD I AGRA	104.965	68.366119	34.8677	4139.748746	3910.666819	94.466284	38.471937	3.725686	5.720183	4.910537	434.042324	360.24042	82.996611	45.942398	63.455582	3705.706423	3550.426399	95.809705	37.596936
2025	B	EDD II AGRA	61.686	48.557095	21.283444	3259.215964	2833.078969	86.925169	31.575501	4.592742	5.834531	1.597481	144.546278	55.12498	38.136561	69.980213	46.959614	3114.669686	2777.953989	89.189361	29.793207
2025	C	EDD IV KIRAWALI	53.999	40.753927	24.528367	1733.22596	1121.505222	64.706233	51.165149	2.0769	2.751895	2.430169	151.908607	85.49071	56.277726	57.526281	38.323758	1581.317353	1036.014512	65.515914	50.55407
2025	D	EDD KHERAGARH	48.212	34.546387	28.344837	1540.53611	1205.852159	78.274839	43.912037	2.501145	3.49053	2.456436	208.925701	48.154326	23.048541	83.48453	32.089951	1331.61041	1157.697833	86.93968	37.703231
2025	DA	EDC AGRA	268.862	192.223528	28.504762	10672.72678	9071.10317	84.993304	39.233835	3.373888	4.719039	11.394624	939.422909	549.010436	58.441244	58.217294	180.828904	9733.303871	8522.092734	87.556012	37.401621
2025	E	EDD BAH	58.19	48.491308	16.667283	2248.556059	1281.377334	56.986675	52.511455	2.202058	2.642489	8.387222	1032.313552	474.855907	45.999193	61.667623	40.104086	1216.242507	806.521427	66.31255	44.73995
2025	F	EDD ETMADPUR	77.6	61.588639	20.633197	3201.083069	2185.98114	68.288798	45.801364	2.816986	3.549325	1.554257	188.131955	3.25143	1.728271	98.628327	60.034382	3012.951114	2182.72971	72.44491	42.502791
2025	G	EDD III AGRA	99.6	81.62105	18.051155	3715.767845	2356.812419	63.427332	48.022034	2.366278	2.887506	2.461905	224.654378	0	0	100	79.159145	3491.113467	2356.812419	67.508903	44.677234
2025	GA	EDC FATEHABAD	235.39	191.700996	18.560263	9165.406973	5824.170893	63.545142	48.249003	2.474264	3.038154	12.403383	1445.099884	478.107337	33.084726	73.055886	179.297613	7720.307089	5346.063555	69.246773	43.60561
2025	H	AGRA	504.252	383.924523	23.862568	19838.13375	14895.27406	75.084049	42.832933	2.953935	3.87974	23.798007	2384.522794	1027.117773	43.074353	67.204294	360.126516	17453.61096	13868.15629	79.457233	39.503303
2024	A	EDD I AGRA	108.129	65.170356	39.729068	3823.974057	5013.699024	131.112266	20.977415	4.636776	7.69322	4.107164	368.545505	1609.234486	436.64472	-163.169842	61.063192	3455.428553	3404.464538	98.525103	40.618002
2024	B	EDD II AGRA	61.868	45.097962	27.106158	3161.678864	2771.649632	87.663857	36.098447	4.479941	6.145842	0.590149	69.148107	300.5662	434.67018	-216.847794	44.507813	3092.530758	2471.083432	79.904894	41.754253
2024	C	EDD IV KIRAWALI	59.106	41.84581	29.202095	2268.852582	1042.77745	45.960564	67.460884	1.76425	2.491952	4.17063	350.921427	96.72125	27.562082	80.486623	37.67518	1917.931155	946.0562	49.326911	65.07758
2024	D	EDD KHERAGARH	52.803	33.88877	35.82037	1453.059699	1176.940638	80.997404	48.016166	2.228928	3.472952	2.820748	266.092695	101.7563	38.240922	75.457118	31.068022	1186.967004	1075.184338	90.582496	41.864489
2024	DA	EDC AGRA	281.906	186.002898	34.019532	10707.5652	10005.06674	93.439232	38.348357	3.549079	5.378984	11.688691	1054.707734	2108.278236	199.892176	-31.889793	174.314207	9652.857469	7896.788507	81.807781	46.022843
2024	E	EDD BAH	70.83	57.409299	18.947764	2772.403682	1709.935395	61.676999	50.009413	2.41414	2.978499	12.453487	1583.968696	303.941322	19.188594	84.447216	44.955812	1188.434986	1405.994073	118.306352	4.110056
2024	F	EDD ETMADPUR	82.97	56.622266	31.755736	2918.257236	2007.873126	68.803843	53.045324	2.419999	3.546084	1.733975	198.513779	31.83474	16.036539	89.055982	54.888291	2719.743457	1976.038386	72.655323	50.41691
2024	G	EDD III AGRA	114.62	88.692337	22.62054	4095.163541	2334.486914	57.005951	55.889103	2.036719	2.632118	1.518744	158.559019	113.2634	71.43296	44.725561	87.173593	3936.604522	2221.223514	56.424858	56.33875
2024	GA	EDC FATEHABAD	268.42	202.723903	24.475113	9785.824459	6052.295435	61.847578	53.289687	2.254786	2.985487	15.706206	1941.041494	449.039462	23.133945	82.528114	187.017697	7844.782965	5603.255973	71.426526	46.055197
2024	H	AGRA	550.326	388.7268	29.364268	20493.38966	16057.36218	78.353862	44.654176	2.917791	4.130758	27.394897	2995.749228	2557.317699	85.364879	39.701893	361.331903	17497.64043	13500.04448	77.153514	45.502051
